[MASTER] 08:05:11.023 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:20.073 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:22.611 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:24.825 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:29.187 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 08:05:29.203 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.FullClauseSelectorSolver<T> : Type points to itself
[MASTER] 08:05:29.203 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.LexicoDecorator<T> : Type points to itself
[MASTER] 08:05:30.913 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:31.097 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:31.984 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:33.242 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:39.242 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:40.419 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<CardinalityDataStructureYanMax>[] solverArray0 = (Solver<CardinalityDataStructureYanMax>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<CardinalityDataStructureYanMax>) solverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:40.510 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:41.922 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:42.384 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:47.427 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:54.657 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:55.206 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:57.461 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:05:59.186 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:00.961 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:02.130 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:02.678 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:04.693 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:10.769 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:11.086 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:15.225 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:15.455 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:18.384 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:19.780 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:20.212 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:21.152 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:21.298 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:22.495 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:23.473 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:24.036 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:24.275 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:26.536 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:27.658 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:29.259 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:29.924 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:30.312 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 08:06:31.389 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<DimacsOutputSolver>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<DimacsOutputSolver>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<DimacsOutputSolver>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.Backbone
