[MASTER] 05:29:06.068 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ClausalCardinalitiesDecorator<T> : Type points to itself
[MASTER] 05:29:06.068 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.LexicoDecorator<T> : Type points to itself
[MASTER] 05:29:06.068 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 05:29:12.139 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:16.931 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 8), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:18.292 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:20.926 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:24.152 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:24.888 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:27.371 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:28.491 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:29.935 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:33.499 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:35.783 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:37.367 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:40.946 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:41.337 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:44.199 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:45.021 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:47.837 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:48.603 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
[MASTER] 05:30:50.665 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<OptToSatAdapter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<OptToSatAdapter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<OptToSatAdapter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.InstanceReader
