[MASTER] 05:28:39.047 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 05:28:48.934 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:57.322 [logback-2] ERROR TestCluster - Failed to check cache for java.util.Comparator<T> : Type points to itself
[MASTER] 05:28:57.862 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 05:28:58.320 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:01.771 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:03.195 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:05.689 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:08.255 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:08.294 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:08.968 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:11.291 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:11.454 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:12.868 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:13.568 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:13.799 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:14.605 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:14.764 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:15.407 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:16.757 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:20.304 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:21.427 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:21.792 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:22.798 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:23.774 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:24.089 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:25.107 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:25.641 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:26.000 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:27.873 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:29.495 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:29.716 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:30.084 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:31.796 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:31.940 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:32.450 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:34.360 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:34.666 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:35.434 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:36.072 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:36.249 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:36.563 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:36.946 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:37.335 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:37.975 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:29:38.236 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
