[MASTER] 14:02:01.400 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 14:02:01.401 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 14:02:20.446 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<SingleSolutionDetector>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<SingleSolutionDetector>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<SingleSolutionDetector>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:17.763 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:18.202 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:19.060 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:19.281 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:20.089 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:20.395 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:21.851 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:22.471 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:23.245 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:23.676 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:24.840 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 2), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:26.271 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:30.216 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:31.918 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:34.149 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:36.633 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:38.365 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:38.567 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<SingleSolutionDetector>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<SingleSolutionDetector>[]) Array.newInstance(GroupClauseSelectorSolver.class, 8), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<SingleSolutionDetector>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:41.928 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:43.621 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:46.158 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 6), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
[MASTER] 14:03:46.915 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWL>[] solverArray0 = (Solver<MixedDataStructureDanielWL>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWL>) solverArray0; SUT=org.sat4j.minisat.constraints.cnf.UnitClauses
