[MASTER] 05:37:27.202 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 05:37:27.202 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 05:37:38.380 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:37:40.920 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:37:45.697 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:37:53.386 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:37:58.688 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:00.613 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:00.872 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:05.074 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:05.326 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:08.706 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:09.457 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:10.094 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:10.476 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:10.618 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:11.188 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:11.459 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:12.177 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:13.505 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:14.173 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:14.548 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:15.253 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:15.523 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:15.818 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:15.860 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:16.223 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:16.367 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:17.217 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:17.522 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:18.078 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:18.388 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:18.699 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:19.108 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:20.068 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:20.165 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:20.345 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:20.781 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:20.871 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:22.412 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:22.776 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:23.168 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:23.504 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:23.614 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:23.898 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
[MASTER] 05:38:24.355 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binomial
