[MASTER] 14:16:27.322 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:16:58.299 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:02.200 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:09.616 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:12.243 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:12.558 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:14.945 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:16.002 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:17.360 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:20.932 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:27.379 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:28.351 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<CardinalityDataStructureYanMin>[] solverArray0 = (Solver<CardinalityDataStructureYanMin>[]) Array.newInstance(Solver.class, 8), assignment statement: solverArray0[0] = (Solver<CardinalityDataStructureYanMin>) solverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:34.991 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:36.617 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:39.206 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:39.327 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:41.511 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:43.386 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:47.629 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:50.490 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:51.397 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:52.741 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:56.439 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:17:58.741 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:18:01.195 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:18:02.223 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 14:18:03.468 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 2), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
